neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
Woodbine-Lumsden,1,Low Service,8.0,3.0,0.75,1.0,1.0,8.0,1.5802499428190842,50,0.25,12.6,7883.0,7345.0,0.26185384432831055,0.6273577602980203,43.69529125,-79.3131625
Bridle Path-Sunnybrook-York Mills,1,Low Service,15.0,3.0,0.9333333333333333,1.0,1.0,15.0,1.9845211171298045,129,0.0,8.95,9063.0,7560.0,0.21675329250557873,0.6255503601215967,43.734483999999995,-79.38672
Lambton Baby Point,1,Low Service,9.0,3.0,0.8888888888888888,1.0,1.0,9.0,1.1142324118673472,31,0.5555555555555556,15.25,7973.0,7360.0,0.3064886810023459,0.6246263748253744,43.65610111111111,-79.49507777777778
Princess-Rosethorn,1,Low Service,9.0,3.0,1.0,1.0,1.0,9.0,2.144137585046893,85,0.2222222222222222,6.4,11110.0,9522.5,0.21256104484132252,0.6234570324981668,43.66529,-79.54771111111111
Caledonia-Fairbank,1,Low Service,5.0,3.0,1.0,1.0,1.0,5.0,1.3270206494686327,42,1.0,12.4,9960.0,9732.5,0.29977978005689865,0.622674507307672,43.688026,-79.45608
Briar Hill-Belgravia,1,Low Service,3.0,3.0,1.0,1.0,1.0,3.0,0.6464508872302347,55,1.0,14.25,14393.0,13982.5,0.41175681268201303,0.621479043839553,43.70140000000001,-79.4498
Dovercourt Village,1,Low Service,7.0,3.0,0.5714285714285714,1.0,1.0,7.0,0.8524512259975972,67,1.0,13.55,12383.5,8734.0,0.3383054623889492,0.6184281461047364,43.66314142857143,-79.42702857142856
Maple Leaf,1,Low Service,3.0,3.0,1.0,1.0,1.0,3.0,1.2793818888831492,52,1.0,12.1,9850.0,9007.5,0.2881724215279897,0.6182004811746024,43.71735666666666,-79.48113333333333
Trinity-Bellwoods,1,Low Service,8.0,3.0,0.625,1.0,1.0,8.0,0.6492674118157874,72,1.0,12.85,15823.0,16515.0,0.42382072579827423,0.617746783757243,43.649283749999995,-79.4200125
Humber Heights-Westmount,1,Low Service,7.0,3.0,0.8571428571428571,1.0,1.0,7.0,1.188369971155872,92,0.42857142857142855,12.4,10060.0,8450.0,0.29126070201419096,0.6169567108037582,43.691071428571426,-79.51950000000001
