LOCATION_ADDRESS,LOCATION_POSTAL_CODE,AVG_OCCUPANCY_RATE,PRESSURE_STATUS,LATITUDE,LONGITUDE
220 Cowan Ave,M6K 2N6,96.824,High,43.640724720266,-79.433233691116
25 Augusta Ave,M5T 2K7,99.05009589041094,High,43.649078418337,-79.399500302691
25 Canterbury Pl,M3N 0E3,93.81347008547009,High,43.772795686392,-79.414742625977
257 Dundas St E,M5A 1Z8,87.27837387074358,Medium,43.658030416657,-79.372105728542
2671 Islington Ave,M9V 2X6,97.1816169648774,High,43.73928978282,-79.565758202023
2714 Danforth Ave,M4C 1L7,99.07868312757202,High,43.689297388163,-79.298358140187
2808 Dundas St W,M6P 1Y5,99.78918548939083,High,43.665664905527,-79.463204694662
3306 Kingston Rd,M1M 1P8,94.97554430379746,High,43.734248780522,-79.22349651308
3410 Bayview Ave,M2M 3S3,98.39416153319644,High,43.798108782525,-79.395440863164
348 Davenport Road,M5R 1K6,97.52220867208672,High,43.675406018121,-79.401375585888
351 Lake Shore Blvd E,M5A 1C1,99.7696167008898,High,43.64797447978,-79.359688274264
354 George St,M5A 2N3,99.00464,High,43.659455298288,-79.374558692507
3576 St Clair Ave E,M1K 1M2,99.71694045174539,High,43.717529817353,-79.258008077395
360 Lesmill Rd,M3B 2T5,97.33649499284694,High,43.763345719205,-79.360953522549
386 Dundas St E,M5A 2A5,96.53306639288158,High,43.659102587802,-79.368218369488
422 Gilbert Ave,M6E 4X3,97.12790476190476,High,43.689435899113,-79.462608992803
4222 Kingston Rd,M1E 2M6,80.94528888888888,Medium,43.760677591786,-79.196740723772
4584 Kingston Road,M1E 2P4,99.71538461538461,High,43.774634005397,-79.183907108001
490 Sherbourne St,M4X 1K9,88.12379192334018,Medium,43.667600496517,-79.375401911966
512 Jarvis St,M4Y 2H6,94.04717316906229,High,43.667616380224,-79.379272339577
545 Lake Shore Blvd W,M5V 1A3,96.22943189596168,High,43.636491607705,-79.398741069901
55 John St,M5V 3C6,95.34526785714286,High,43.646162396132,-79.388934662281
558 Bathurst St,M5S 2P9,75.06650239561944,Medium,43.658473316421,-79.408813938223
60 Brant St,M5V 3G9,95.24069815195072,High,43.647102887578,-79.398732436541
60 Newcastle St,M8Y 1A3,99.94597193347192,High,43.618214909741,-79.49730747356
629 Adelaide St W,M6J 1A8,100.0,High,43.644644810653,-79.405045266917
63 Bellwoods Ave,M6J 3M4,69.84239795918367,Low,43.648015509196,-79.4113748611
67 Adelaide St E,M5C 1K6,91.08956554307116,High,43.650904290216,-79.375186497055
674 Dundas St W,M5H 1H9,95.83971251658558,High,43.651978808293,-79.403691505736
69 Fraser Ave,M6K 1E9,99.60440793976728,High,43.638363999146,-79.424152904853
7 Vanauley St,M5T 2V9,98.96828884325805,High,43.648833708674,-79.398311497363
70 Denison Ave,M5T 2M8,91.2662559890486,High,43.650227912539,-79.401749921684
70 Gerrard St E,M5B 1G6,98.74245785753126,High,43.660145296557,-79.378407662445
702 Kennedy Rd,M1K 2B5,99.5611498973306,High,43.728260581255,-79.266577232288
705 Progress Ave,M1H 2X1,98.85329661683713,High,43.77671829135,-79.246023632235
80 Woodlawn Ave E,M4T 1C1,98.49472963723477,High,43.684790816011,-79.389714095457
805A Wellington St W,M5V 1G8,91.4822308690013,High,43.640729497951,-79.410867420682
81 Elizabeth St.,M5G 1P4,89.44214285714285,Medium,43.654289489451,-79.384524523925
81 Elizabeth Street,M5G 1P4,94.8210729613734,High,43.654289489451,-79.384524523925
87 Pembroke St,M5A 2N9,98.6988090349076,High,43.659242481766,-79.372429605281
870 Queen St E,M4M 3G9,79.98173913043478,Medium,43.660452116123,-79.34533309161
885 Scarborough Golf Club Road,M1G 1J6,92.19865979381444,High,43.772753818786,-79.219089224571
89 Church Ave.,M2N 6C9,55.666666666666664,Low,43.774653116136,-79.408540436723
92 Peter St,M5V 2G5,99.42141025641025,High,43.6470593855,-79.392960406557
95 Wellesley St E,M4Y 2X9,97.20657645466848,High,43.665864185275,-79.379215174997
962 Bloor St W,M6H 1L6,95.88913265306124,High,43.661605717457,-79.42892480615
981 Dundas St W,M6J 1W4,64.19491525423729,Low,43.650235204795,-79.415303040024
