Name,Type,Address,lat,lon
TORONTO PAN AM SPORTS CENTRE,Community Centre,875 MORNINGSIDE AVE,43.79062,-79.1937
PARKWAY FOREST COMMUNITY CENTRE,Community Centre,55 FOREST MANOR RD,43.77254,-79.3439
SWANSEA COMMUNITY RECREATION CENTRE,Community Centre,15 WALLER AVE,43.64411,-79.4771
Swansea Town Hall Community Centre,Community Centre,95 Lavinia Avenue,43.64766,-79.4779
TRINITY COMMUNITY RECREATION CENTRE,Community Centre,155 CRAWFORD ST,43.64644,-79.4154
BIRKDALE COMMUNITY CENTRE,Community Centre,1299 ELLESMERE RD,43.76823,-79.2639
WALLACE EMERSON COMMUNITY RECREATION CENTRE,Community Centre,1260 DUFFERIN ST,43.66732,-79.4393
STAN WADLOW CLUBHOUSE,Community Centre,373 CEDARVALE AVE,43.69818,-79.3151
BOB ABATE COMMUNITY RECREATION CENTRE,Community Centre,485 MONTROSE AVE,43.66293,-79.4207
FENSIDE ARENA,Community Centre,30 SLIDELL CRES,43.76384,-79.3268
FAIRMOUNT PARK COMMUNITY CENTRE,Community Centre,1757 GERRARD ST E,43.67665,-79.3151
LAMPORT STADIUM,Community Centre,1155 KING ST W,43.63902,-79.4232
ESTHER SHINER STADIUM,Community Centre,5720 BATHURST ST,43.77578,-79.4442
SECORD COMMUNITY CENTRE,Community Centre,91 BARRINGTON AVE,43.69178,-79.3016
EAST YORK COMMUNITY RECREATION CENTRE,Community Centre,1081 1/2 PAPE AVE,43.69178,-79.3493
BROWN COMMUNITY CENTRE,Community Centre,454 AVENUE RD,43.68492,-79.4013
EAST YORK MEMORIAL ARENA,Community Centre,888 COSBURN AVE,43.69743,-79.3153
TERRY FOX COMMUNITY CENTRE,Community Centre,2 GLEDHILL AVE,43.68766,-79.3095
LARRY GROSSMAN FOREST HILL MEMORIAL ARENA,Community Centre,340 CHAPLIN CRES,43.70426,-79.4205
MCCORMICK ARENA,Community Centre,179 BROCK AVE,43.64709,-79.4344
MOSS PARK ARENA,Community Centre,140 SHERBOURNE ST,43.6547,-79.3697
