Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood
SILVERVIEW PARK,Park,23 Silverview Dr,M2M 2B4,43.78577,-79.4115,0,0,
WILLESDEN PARK,Park,88 Willesden Rd,M2H 1V7,43.79334,-79.3634,0,0,
FAIRMEADOW PARKETTE,Park,37 Fairmeadow Ave,M2P 1W7,43.75584,-79.398,0,0,
GRACEFIELD PARK,Park,175 Gracefield Ave,M6L 1L7,43.70945,-79.4907,0,0,
POINT ROUGE TRAIL PARK,Park,203 Staines Rd,M1X 1V4,43.82593,-79.2202,0,0,
NIGHTSTAR PARK,Park,18 Nightstar Rd,M1X 1Z8,43.82411,-79.2294,0,0,
NEVILLE PARK BLVD RAVINE,Park,45 Bracken Ave,M4E 1N4,43.67841,-79.2834,0,0,
SHERWOOD PARK,Park,190 Sherwood Ave,M4P 2A8,43.71559,-79.39,1,0,
NORTHERN LINEAR PARK,Park,180 Queens Wharf Rd,M5V 0E4,43.64027,-79.3991,0,0,
BALLYCONNOR PARK,Park,21 Ballyconnor Crt,M2M 0B6,43.79991,-79.3863,0,0,
MALVERN WOODS,Park,7600 Sheppard Ave E,M1B 2Y7,43.80215,-79.2006,0,0,
ROYAL ROUGE TOT LOT,Park,65 Royal Rouge Trl,M1B 4T8,43.80099,-79.1468,0,0,
ALBERT CAMPBELL SQUARE,Park,150 Borough Dr,M1P 4N7,43.77281,-79.2572,1,0,
BONSPIEL PARK,Park,50 Bonspiel Dr,M1E 5K6,43.79147,-79.1978,0,0,
EAST DON PARKLAND,Park,1240 Sheppard Ave E,M2K 2S5,43.77183,-79.3652,1,0,
RON WATSON PARK,Park,140 Bonis Ave,M1T 2V2,43.78496,-79.2946,0,0,
PINETREE PARK,Park,55 Applemore Rd,M1B 1R7,43.79973,-79.2353,0,0,
STAINES PARKETTE,Park,230 Staines Rd,M1X 1V4,43.82666,-79.2218,0,0,
BIRUNTHAN PARK,Park,31 Dragonfly Cres,M1X 1W2,43.82292,-79.2253,0,0,
COLLEGE PARK,Park,420 Yonge St,M5B 2H3,43.66005,-79.3838,1,0,
COLONIAL PARK,Park,150 Bridlegrove Dr,M1M 3X3,43.73847,-79.2328,0,0,
CHATSWORTH RAVINE,Park,900 Duplex Ave,M4R 1X2,43.72144,-79.4046,0,0,
ROYWOOD PARK,Park,2 Roywood Dr,M3A 2C7,43.76386,-79.3217,0,0,
CRAWFORD - JONES MEMORIAL PARK,Park,80 Dee Ave,M9N 1S9,43.71063,-79.5389,0,0,
WOODBINE PARK,Park,1695 Queen St E,M4L 1G7,43.66695,-79.3118,1,0,
LYNNDALE PARKETTE,Park,10 Lynndale Cres,M1N 1C2,43.68263,-79.2756,0,0,
ALLENBURY PARK,Park,160 Fairview Mall Dr,M2J 0E7,43.7803,-79.3431,0,0,
GILTSPUR PARK,Park,85 Magellan Dr,M3L 1T3,43.73606,-79.5084,0,0,
TIMBERBANK PARK,Park,240 Timberbank Blvd,M1W 2A3,43.79539,-79.308,0,0,
ORIOLE PARK - TORONTO,Park,201 Oriole Pkwy,M5P 2H1,43.69749,-79.4027,1,0,
CRESTHAVEN PARK,Park,37 Cresthaven Dr,M2H 1L9,43.79857,-79.3634,0,0,
TRUE DAVIDSON PARK,Park,160 Memorial Park Ave,M4J 2K5,43.69203,-79.3302,0,0,
CHURCHILL HEIGHTS PARK,Park,60 Mountland Dr,M1G 2P1,43.7711,-79.2242,0,0,
REGENTS PARK,Park,115 Westbourne Ave,M1L 2Y8,43.7069,-79.2916,0,0,
PRINCE EDWARD VIADUCT PARKETTE,Park,725 Bloor St E,M4W 1J4,43.67433,-79.3669,0,0,
TURPIN AVENUE PARK,Park,12 Turpin Ave,M9W 5Y7,43.7232,-79.555,0,0,
CLOVERDALE PARK,Park,85 Shaver Ave S,M9B 3T6,43.63341,-79.545,0,0,
GLEN LONG PARK,Park,35 Glen Long Ave,M6B 2M1,43.70863,-79.4558,0,0,
ROBERT HICKS PARK,Park,39 Robert Hicks Dr,M2R 3R1,43.77268,-79.4537,0,0,
BIRCHCREST PARK,Park,89 Beverly Glen Blvd,M1W 4A6,43.79868,-79.3222,0,0,
CORONATION PARK - TORONTO,Park,711 Lake Shore Blvd W,M5V 3T7,43.63528,-79.4061,1,0,
WADSWORTH PARK,Park,120 Connolly St,M6N 1E7,43.67199,-79.4575,0,0,
BROADWAY AVENUE PARKETTE,Park,176 Broadway Ave,M4P 1V9,43.71142,-79.3907,0,0,
LANGFORD PARKETTE,Park,26 Langford Ave,M4J 3E3,43.68054,-79.3412,0,0,
GLEN EDYTH DRIVE PARKETTE,Park,2 Glen Edyth Dr,M4V 2V7,43.67809,-79.4055,0,0,
BUTTONWOOD PARK,Park,30 Mulham Pl,M9A 4W1,43.68197,-79.519,0,0,
AVALON PARKETTE,Park,1700 Kingston Rd,M1N 1S8,43.69239,-79.2637,0,0,
MARTINGROVE GARDENS PARK,Park,31 Lavington Dr,M9R 2H1,43.68943,-79.5636,0,0,
ROSEMOUNT GARDENS PARKETTE,Park,255 Queenslea Ave,M9N 3X4,43.70662,-79.5271,0,0,
MALVERN PARK,Park,36 Sewells Rd,M1B 3G5,43.80821,-79.2152,0,0,
EXBURY PARK,Park,128 EXBURY RD,M3M 1R6,43.73058,-79.504,0,0,
SHEPTON WAY PARK,Park,115 Sanwood Blvd,M1V 5N7,43.81625,-79.3058,0,0,
LAWREN HARRIS PARK,Park,145 Rosedale Valley Rd,M4W 1P7,43.6734,-79.3849,0,0,
TRUMPETER PARK,Park,46 Trumpeter St,M1B 6G4,43.80729,-79.1842,0,0,
EGLINTON RAVINE PARK,Park,2281 Eglinton Ave E,M1K 2M5,43.73071,-79.273,0,0,
NOBLE PARK,Park,74 Sandcliff Rd,M6N 2M3,43.67707,-79.501,0,0,
CRESCENTWOOD PARK,Park,35 Crescentwood Rd,M1N 1E4,43.68605,-79.2662,0,0,
RUDDINGTON PARK,Park,75 Ruddington Dr,M2K 2X8,43.79219,-79.3898,0,0,
BENNER PARK,Park,25 Benner Ave,M6B 3G7,43.70625,-79.4401,0,0,
KENNEDY PARKETTE,Park,2799 Kennedy Rd,M1V 1S8,43.80079,-79.2958,0,0,
SANDY BRUCE PARK,Park,426 Moore Ave,M4G 1C8,43.69729,-79.3706,0,0,
STANLEY PARK,Park,27 Stanley Rd,M3N 1C2,43.74152,-79.5157,0,0,
JONATHAN ASHBRIDGE PARK,Park,1515 Queen St E,M4L 1E3,43.66539,-79.3199,1,0,
HURON - WASHINGTON PARKETTE,Park,420 Huron St,M5S 2G5,43.66609,-79.4015,0,0,
EAST LYNN PARK,Park,1949 Danforth Ave,M4C 1J4,43.68489,-79.3154,0,0,
FAIRHAVEN PARK,Park,100 Golfwood Hts,M9P 3L8,43.70264,-79.5461,1,0,
BELLBURY PARK,Park,55 Van Horne Ave,M2J 2S8,43.78463,-79.3611,1,0,
TAM O'SHANTER GOLF COURSE,Park,2481 Birchmount Rd,M1T 2M6,43.78633,-79.2995,1,0,
ERINGATE PARK,Park,121 Wellesworth Dr,M9C 4R8,43.66324,-79.5818,1,0,
SCARLETT BRIDGE PARKETTE,Park,SCARLETT RD,M9A,43.68131,-79.5093,0,0,
DORIS - NORTON PARK,Park,290 Doris Ave,M2N 6C7,43.77282,-79.4125,0,0,
ISABELLA VALANCY CRAWFORD PARK,Park,299 Front St W,M5V 2T6,43.64365,-79.3889,0,0,
STEWART A. MCGREGOR PARKETTE,Park,85 Mason Blvd,M5M 3C9,43.74026,-79.4104,0,0,
HUMBERWOOD PARK,Park,850 Humberwood Blvd,M9W 7A6,43.72889,-79.6192,0,0,
CUMMER PARKETTE,Park,6024 Leslie St,M2H 2A7,43.80149,-79.3711,0,0,
VESTA PARKETTE,Park,41 Vesta Dr,M5P 2Z6,43.69291,-79.4167,0,0,
OLYMPIC PARK,Park,222 Bremner Blvd,M5V 3L9,43.64269,-79.3849,0,0,
BERESFORD PARK,Park,400 Beresford Ave,M6S 3B5,43.65619,-79.4802,0,0,
GLENLAKE SQUARE,Park,516 Glenlake Ave,M6P 1H2,43.65613,-79.4741,0,0,
MCCLEARY PARK,Park,755 Lake Shore Blvd E,M4M 2M8,43.65354,-79.3402,1,0,
LANGDALE COURT GREENBELT,Park,107 Driftwood Ave,M3N 2M9,43.75485,-79.5137,0,0,
ALLAN GARDENS,Park,160 Gerrard St E,M5A 2E4,43.66111,-79.3741,1,0,
ACACIA PARK,Park,68 Lilac Ave,M9M 1G5,43.71976,-79.5413,0,0,
CONNORVALE PARK,Park,281 Rimilton Ave,M8W 4X6,43.6094,-79.5286,1,0,
HILLSIDE PARK,Park,185 Hillside Ave,M8V 1T3,43.60892,-79.5001,0,0,
NORWOOD PARK,Park,16 Norwood Rd,M4E 2R8,43.6824,-79.3027,1,0,
MUIRLANDS PARK,Park,40 Muirlands Dr,M1V 2B4,43.82407,-79.2684,0,0,
SPRING GARDEN PARK,Park,32 Meadow Crest Rd,M8Z 2Y7,43.6416,-79.5136,0,0,
AMESBURY PARK,Park,151 Culford Rd,M6M 4K6,43.70579,-79.4863,0,0,
ROBERT BATEMAN PARKETTE,Park,281 Chaplin Cres,M5P 1B1,43.70154,-79.4148,0,0,
HARWOOD PARK,Park,51 Leigh St,M6N 3X3,43.67657,-79.4774,0,0,
REDPATH AVENUE PARKETTE,Park,130 Erskine Ave,M4P 1Z1,43.71235,-79.3943,0,0,
YORK STADIUM,Park,2 Avon Ave,M6N 3W7,43.68178,-79.4801,0,0,
BENNETT PARK,Park,10 Gothic Ave,M6P 2V9,43.65379,-79.4675,0,0,
NEILSON PARK - SCARBOROUGH,Park,1555 Neilson Rd,M1B 2K2,43.81267,-79.2249,1,0,
50 QUEENS QUAY EAST PARK,Park,50 QUEENS QUAY E,M5E 1B2,43.6429,-79.3728,0,0,
PRESCOTT PARKETTE,Park,20 Prescott Ave,M6N 3G5,43.67535,-79.4576,0,0,
PRICEFIELD ROAD PLAYGROUND,Park,50 Pricefield Rd,M4W 1Z9,43.6813,-79.3884,0,0,
WELLESLEY PARK,Park,500 Wellesley St E,M4X 1H9,43.66971,-79.3628,0,0,
YORKMINSTER PARK BAPTIST CHURCH PARK,Park,1585 Yonge St,M4T 1Z9,43.69053,-79.3942,0,0,
CONACHER PARK,Park,645 Conacher Dr,M2M 3N2,43.79535,-79.3984,0,0,
SEVEN OAKS PARK,Park,372 Military Trl,M1E 4E6,43.78701,-79.211,1,0,
TOPHAM PARK,Park,181 Westview Blvd,M4B 3J3,43.71045,-79.3067,1,0,
GARLAND PARK,Park,65 John Garland Blvd,M9V 1N4,43.73234,-79.5831,0,0,
DEEKSHILL PARK,Park,2 Piperbrook Cres,M1E 5G9,43.76742,-79.1817,0,0,
66 DOUGLAS CRESCENT PARKETTE,Park,66 Douglas Cres,M4W 2E7,43.69214,-79.3664,0,0,
SEELEY GREENBELT,Park,23 Seeley Dr,M3M 2V7,43.74226,-79.4941,0,0,
HILLDOWNTREE PARKETTE,Park,16 Hilldowntree Rd,M9A 2Z4,43.66029,-79.5261,0,0,
HUMMINGBIRD PARK,Park,40 Oasis Blvd,M1X 1W8,43.82858,-79.2342,0,0,
ALLANHURST PARK,Park,1336 Royal York Rd,M9A 4K5,43.67854,-79.5254,0,0,
BURROWS HALL PARK,Park,239 Burrows Hall Blvd,M1B 1N1,43.79381,-79.2281,0,0,
SKYMARK PARK,Park,3500 Don Mills Rd,M2H 1V4,43.79568,-79.3557,0,0,
KING'S MILL PARK,Park,9 Catherine St,M6S 4K2,43.65127,-79.491,0,0,
TRAYMORE PARK,Park,5 Traymore Cres,M6S 4K4,43.64833,-79.4886,0,0,
CLIFFWOOD PARK,Park,280 Cliffwood Rd,M2H 2E5,43.80802,-79.3547,0,0,
SANWOOD PARK,Park,20 Sanwood Blvd,M1V 3L5,43.81701,-79.3108,0,0,
REMBERTO NAVIA SPORT FIELDS,Park,65 Norfinch Dr,M3N 1W8,43.75813,-79.5284,0,0,
MOSSGROVE PARK,Park,57 Mossgrove Trl,M2L 2W2,43.7532,-79.3654,0,0,
MCCAUL - ORDE PARKETTE,Park,235 Mc Caul St,M5T 1W6,43.65793,-79.3927,0,0,
GRACE - COLLEGE PARKETTE,Park,GRACE ST,M1J,43.7428,-79.2331,0,0,
STARRY PARK,Park,505 Staines Rd,M1X 2B7,43.835,-79.2289,0,0,
KNOTWOOD PARK,Park,40 Pogonia St,M1X 1Z6,43.82637,-79.2275,0,0,
PORT ROYAL PARK,Park,50 Port Royal Trl,M1V 2G8,43.8188,-79.2872,0,0,
HARRYETTA GARDENS,Park,170 Torresdale Ave,M2R 3E3,43.78249,-79.4506,0,0,
MILLIKEN PARK,Park,5555 Steeles Ave E,M1V 5P6,43.83153,-79.2712,1,0,
G. ROSS LORD PARK,Park,4801 Dufferin St,M3H 5T3,43.77818,-79.4687,1,0,
RUSTIC PARK,Park,35 Raven Rd,M6L 2A5,43.71391,-79.5043,0,0,
DON VALLEY BRICK WORKS,Park,550 Bayview Ave,M4W 3X8,43.68378,-79.3656,1,0,
BRIDLETOWNE PARK,Park,2295 Bridletowne Crcl,M1W 2L3,43.79959,-79.3139,0,0,
CREEKSIDE PARK,Park,3600 Bayview Ave,M2M 3Z7,43.80258,-79.3964,0,0,
TALL PINES PARK,Park,64 Rylander Blvd,M1B 4X3,43.7985,-79.1522,0,0,
ZOOVIEW PARK,Park,50 Hedge End Rd,M1B 5Z4,43.80907,-79.1728,0,0,
BRIMLEY WOODS,Park,2755 Brimley Rd,M1V 1T4,43.80836,-79.2782,0,0,
MANOR COMMUNITY GREEN,Park,190 Manor Rd E,M4S 1R8,43.70468,-79.3879,0,0,
ECHO VALLEY PARK,Park,1124 Kipling Ave,M9B 3M5,43.6532,-79.5409,0,0,
PANORAMA PARK,Park,31 Panorama Crt,M9V 3A8,43.74667,-79.5802,0,0,
SYLVAN PARK - GATE GULLY,Park,55 Sylvan Ave,M1M 1J9,43.73051,-79.2141,0,0,
OAKDALE VILLAGE PARK,Park,95 Fred Young Dr,M3L 0A4,43.72943,-79.5203,0,0,
SENATOR MARIAN MALONEY PARK,Park,40 Caven St,M8Z 0C5,43.62082,-79.521,0,0,
ETHENNONNHAWAHSTIHNEN PARK,Park,80 McMahon Dr,M2K 0H3,43.7674,-79.3724,1,0,
85 KEEWATIN AVE PARK,Park,85 Keewatin Ave,M4P 1Z9,43.71292,-79.3959,0,0,
MOORE PARK,Park,110 Cactus Ave,M2R 2V2,43.7922,-79.4346,0,0,
CENTRE PARK,Park,15 Centre Ave,M2M 2L4,43.79177,-79.4168,0,0,
WOBURN PARK - NORTH YORK,Park,575 Cranbrooke Ave,M5M 1N9,43.72379,-79.4288,0,0,
VIOLA DESMOND PARK,Park,85 Hupfield Trl,M1B 4S1,43.81305,-79.2199,0,0,
"SHAWN ""BLU"" ROSE PARK",Park,30 Empringham Dr,M1B 3Z3,43.81161,-79.2103,0,0,
HORSELEY HILL PARK,Park,145 Horseley Hill Dr,M1B 1W4,43.81012,-79.2294,0,0,
L'AMOREAUX SPORTS COMPLEX,Park,100 Silver Springs Blvd,M1V 1N1,43.80362,-79.3043,1,0,
FLEMINGDON PARK,Park,150 Grenoble Dr,M3C 1E3,43.71354,-79.3266,0,0,
OLD SHEPPARD PARK,Park,101 Sheppard Ave,M2N 3A3,43.76251,-79.4054,0,0,
OLIVE SQUARE PARK,Park,5575 Yonge St,M2N 5S4,43.77934,-79.415,0,0,
LISSOM PARK,Park,338 Homewood Ave,M2R 2N8,43.78538,-79.4407,0,0,
WOODGROVE RAVINE PARK,Park,1 Woodgrove Dr,M1E 3J9,43.76652,-79.1688,0,0,
BIRCHCLIFF WOODS,Park,3700 Danforth Ave,M1N 2G3,43.69803,-79.2623,0,0,
NEILSON PARK - ETOBICOKE,Park,56 Neilson Dr,M9C 1V7,43.63021,-79.5664,0,0,
HARDING PARKETTE,Park,33 Kingsbury Cres,M1N 1E8,43.68968,-79.2627,0,0,
ATRIA NORTH PARK,Park,75 Atria Blvd,M2J 4W6,43.77435,-79.329,0,0,
WARDEN PARK,Park,2851 Warden Ave,M1W 2S8,43.80441,-79.3197,0,0,
MCLEVIN WOODS PARK,Park,375 McLevin Ave,M1B 0C2,43.80798,-79.2228,0,0,
HUNTSMILL PARK,Park,201 Huntsmill Blvd,M1W 2Y2,43.8087,-79.33,0,0,
WEDGEWOOD PARK - NORTH YORK,Park,145 Wedgewood Dr,M2M 2H6,43.7909,-79.4068,0,0,
FAIRGLEN PARK,Park,16 Corinthian Blvd,M1W 1B3,43.78916,-79.3251,0,0,
SOUTH STANLEY PARK EXTENSION,Park,801 Wellington St W,M5V 1G8,43.64078,-79.4106,0,0,
TELFER PARK,Park,71 Pinery Trl,M1B 6C2,43.80765,-79.2262,0,0,
LITTLES ROAD PARK,Park,30 Littles Rd,M1B 5B5,43.81643,-79.2037,0,0,
COLLINGSBROOK PARKETTE,Park,136 Collingsbrook Blvd,M1W 1M7,43.79144,-79.3169,0,0,
NORTH BRIDLEWOOD PARK,Park,11 Adencliff Rd,M1W 1M8,43.79058,-79.3208,0,0,
JOLLY MILLER PARK,Park,3995 Yonge St,M4N 2P2,43.74151,-79.405,0,0,
ELMCREST PARK,Park,575 Rathburn Rd,M9C 3T4,43.64865,-79.5844,0,0,
SEASONS PARK,Park,40 Seasons Dr,M1X 1X4,43.83071,-79.2315,0,0,
TERRY FOX PARK,Park,300 Bamburgh Crcl,M1W 3Y1,43.81553,-79.3214,0,0,
ADAMS PARK,Park,2 Rozell Rd,M1C 5A7,43.7915,-79.1444,1,0,
NEWTON PARKETTE,Park,293 Newton Dr,M2M 2P5,43.79888,-79.3958,0,0,
BAYCREST PARK,Park,160 Neptune Dr,M6A 1X4,43.72892,-79.4431,0,0,
BRAMBER WOODS PARK,Park,15 Bramber Rd,M1C 1N4,43.78903,-79.1675,0,0,
HILLSBOROUGH PARK,Park,94 Corporate Dr,M1H 3G6,43.78053,-79.2485,0,0,
CAMPBELL AVENUE PARK,Park,225 Campbell Ave,M6P 3V5,43.66299,-79.4484,1,0,
CENTENNIAL PARK - SCARBOROUGH,Park,225 Centennial Rd,M1C 2A2,43.78485,-79.1493,0,0,
DENISON PARK,Park,108 Denison Rd W,M9N 1C2,43.69412,-79.5118,0,0,
LIVINGSTONE PARK,Park,21 Woodville Ave,M4K 2J5,43.69128,-79.3538,0,0,
HILLINGDON - WOODROW PARKETTE,Park,64 Woodrow Ave,M4C 1G7,43.6827,-79.3205,0,0,
SERGEANT RYAN RUSSELL PARKETTE,Park,250 Avenue Rd,M5R 1W9,43.67737,-79.3981,0,0,
L'AMOREAUX NORTH PARK,Park,1900 McNicoll Ave,M1V 5E9,43.8114,-79.3045,1,0,
VALECREST PARK,Park,125 Valecrest Dr,M9A 4P7,43.67279,-79.5204,0,0,
TANIS CRES WOODLOT,Park,30 Tanis Cres,M1C 4Z8,43.78641,-79.1635,0,0,
HAVENDALE PARK,Park,5 Belgreen Ave,M1S 1G3,43.79295,-79.2884,0,0,
KING GEORGES - KEELE PARKETTE,Park,KING GEORGE'S DR,M6M 2G9,43.69517,-79.4779,0,0,
JACK EVELYN WIGGINS PARK,Park,51 Leitch Ave,M3J 3P3,43.7679,-79.4967,0,0,
BRIARCREST PARK,Park,68 Wellesworth Dr,M9C 4R3,43.66587,-79.5811,0,0,
DONALDA PARK,Park,80 Donalda Cres,M1S 1N9,43.79057,-79.2836,0,0,
BROOKS ROAD PARK,Park,51 Keeler Blvd,M1E 0B6,43.79276,-79.2064,0,0,
MIMICO WATERFRONT PARK,Park,29 Norris Cres,M8V 1S3,43.61084,-79.4871,0,0,
ANETA CIRCLE PARKETTE,Park,184 Newton Dr,M2M 2N6,43.79472,-79.4045,0,0,
IROQUOIS PARK,Park,295 Chartland Blvd S,M1S 3P4,43.8039,-79.2693,1,0,
SAWLEY BANSTOCK GREENBELT,Park,6 Banstock Dr,M2K 2H6,43.78961,-79.386,0,0,
NORTH AGINCOURT PARK,Park,61 Moran Rd,M1S 2J2,43.79648,-79.2748,0,0,
PORT UNION WATERFRONT PARK,Park,175 Chesterton Shores,M1C 1S8,43.78375,-79.1264,0,0,
ROCKFORD PARK,Park,70 Rockford Rd,M2R 3A7,43.78549,-79.4532,0,0,
60 BROADWAY AVE PARK,Park,60 Broadway Ave,M4P 1T4,43.71042,-79.3958,0,0,
CHARLES CACCIA PARK,Park,348 Nairn Ave,M6E 4H8,43.68837,-79.4539,0,0,
GIDEON PARKETTE,Park,16 Gideon Crt,M2H 3R3,43.79677,-79.3625,0,0,
SANTA CHIARA PARKETTE - ANNE MARIE D'AMICO SQUARE,Park,1114 St Clair Ave W,M6E 1B1,43.67864,-79.4412,0,0,
LION'S GATE PARK,Park,58 Waterford Dr,M9R 2N6,43.68084,-79.5418,0,0,
PICASSO PARK,Park,9 Picasso Rd,M1B 6A5,43.80191,-79.1792,0,0,
BERNER TRAIL PARK,Park,45 Nahanni Ter,M1B 1B7,43.80174,-79.2238,0,0,
STEPHEN LEACOCK PARK,Park,2530 Birchmount Rd,M1T 2M5,43.78768,-79.3021,0,0,
HUBBARD PARK,Park,550 Gerrard St E,M4M 1X7,43.66536,-79.3544,0,0,
GUSTAV PARKETTE,Park,45 Gustav Cres,M2M 4G9,43.78908,-79.3961,0,0,
BOWAN COURT PARKETTE,Park,12 Bowan Crt,M2K 3A8,43.79554,-79.3928,0,0,
PINTO PARK,Park,23 Pinto Dr,M2J 3T9,43.79141,-79.3404,0,0,
WIDDICOMBE HILL PARK,Park,31 Widdicombe Hill,M9R 0P4,43.67902,-79.5495,0,0,
CORKTOWN COMMON,Park,155 Bayview Ave,M5A 0M4,43.65474,-79.3524,1,0,
SHALLMAR PARKETTE,Park,13 Shallmar Blvd,M5N 1J7,43.70393,-79.4238,0,0,
CANDLEBROOK CRESCENT PARK,Park,13 Candlebrook Cres,M1W 4B3,43.8029,-79.3247,0,0,
HORSHAM PARKETTE,Park,159 Horsham Ave,M2N 2A3,43.77265,-79.4227,0,0,
MAPLEHURST PARK,Park,296 Maplehurst Ave,M2N 3C4,43.76551,-79.3978,0,0,
ELLERSLIE PARK,Park,499 Ellerslie Ave,M2R 1C3,43.76558,-79.4395,0,0,
GODSTONE PARK,Park,45 Godstone Rd,M2J 3C8,43.78313,-79.3477,0,0,
FESTIVAL PARK,Park,200 Fisherville Rd,M2R 3C5,43.7879,-79.4588,0,0,
CUDMORE CREEK PARK,Park,250 Manor Rd E,M4S 1R8,43.70532,-79.3852,0,0,
SHEPPARD EAST PARK,Park,229 Glendora Ave,M2N 2W6,43.7622,-79.3948,0,0,
TOTTENHAM PARKETTE,Park,16 Tottenham Rd,M3C 2J4,43.73124,-79.3546,0,0,
JAMES GARDENS,Park,99 Edenbridge Dr,M9A 3G4,43.67138,-79.5161,1,0,
KITCHENER PARK,Park,20 Lorraine Ave,M1K 4K9,43.73166,-79.2535,0,0,
GREEN MEADOWS PARK - NORTH YORK,Park,100 Green Meadows Crcl,M2J 5G7,43.78719,-79.3663,0,0,
KING/QUEEN TRIANGLE,Park,555 Queen St E,M5A 3N9,43.65731,-79.3561,0,0,
RIVERSIDE COMMON PARK,Park,657 Queen St E,M4M 1G4,43.65824,-79.3517,0,0,
WOODLANDS PARK,Park,19 Reesor Rd,M1X 1R5,43.84802,-79.1997,0,0,
CASWELL PARK,Park,18 Caswell Dr,M2M 3L9,43.79632,-79.4022,0,0,
CHARTLAND PARK,Park,99 Chartland Blvd S,M1S 2R7,43.7998,-79.2794,0,0,
CUMMER PARK,Park,823 Cummer Ave,M2H 2T4,43.79956,-79.3731,0,0,
