Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
Coxwell Ave at O'Connor Dr,3,,,43.69765,-79.3293,,0,,58,Old East York
Coxwell Ave at O'Connor Dr South Side,3,,,43.69729,-79.3295,,0,,58,Old East York
Coxwell Ave at Plains Rd,3,,,43.6957,-79.3285,,0,,58,Old East York
Coxwell Ave at Plains Rd,3,,,43.69606,-79.3289,,0,,58,Old East York
Coxwell Ave at Sammon Ave,3,,,43.68867,-79.3257,,0,,59,Danforth-East York
Coxwell Ave at Sammon Ave,3,,,43.68888,-79.326,,0,,59,Danforth-East York
Coxwell Ave at Springdale Blvd,3,,,43.68721,-79.3251,,0,,59,Danforth-East York
Coxwell Ave at Springdale Blvd,3,,,43.68742,-79.3254,,0,,59,Danforth-East York
Coxwell Station at Bus Bay 1,3,,,43.68408,-79.3229,,0,,66,Danforth
Craigton Dr at Pharmacy Ave,3,,,43.72708,-79.2984,,0,,119,Wexford/Maryvale
Craigton Dr at Rannock St East Side,3,,,43.72772,-79.3001,,0,,119,Wexford/Maryvale
Craigton Dr at Victoria Park Ave East Side,3,,,43.72693,-79.3024,,0,,119,Wexford/Maryvale
O'Connor Dr at Amsterdam Ave,3,,,43.71414,-79.306,,0,,54,O`Connor Parkview
O'Connor Dr at Amsterdam Ave West Side,3,,,43.71426,-79.3061,,0,,54,O`Connor Parkview
O'Connor Dr at Bermondsey Rd,3,,,43.7127,-79.3074,,0,,54,O`Connor Parkview
O'Connor Dr at Binswood Ave East Side,3,,,43.69857,-79.3252,,0,,58,Old East York
O'Connor Dr at Binswood Ave West Side,3,,,43.69863,-79.3257,,0,,58,Old East York
O'Connor Dr at Cranborne Ave,3,,,43.72314,-79.3028,,0,,43,Victoria Village
O'Connor Dr at Curity Ave West Side,3,,,43.70764,-79.3113,,0,,54,O`Connor Parkview
O'Connor Dr at Dohme Ave,3,,,43.71038,-79.3089,,0,,54,O`Connor Parkview
O'Connor Dr at Dohme Ave,3,,,43.71069,-79.309,,0,,54,O`Connor Parkview
